Tue Sep 19 20:06:48 2017, 10.112.9.34, send email
Tue Sep 19 20:07:02 2017, 10.112.9.34, check history
Tue Sep 19 20:07:24 2017, 10.112.9.34, no weather three
Tue Sep 19 20:07:33 2017, 10.112.9.34, not
Tue Sep 19 20:07:42 2017, 10.112.9.34, twelve the weather three months
Tue Sep 19 20:07:58 2017, 10.112.9.34, good bye
Tue Sep 19 20:09:15 2017, 10.112.9.34, check history
Tue Sep 19 20:09:27 2017, 10.112.9.34, check traffic
Tue Sep 19 20:09:42 2017, 10.112.9.34, check events
Tue Sep 19 20:10:07 2017, 10.112.9.34, good bye
Wed Sep 20 09:04:26 2017, 10.112.7.47, check weather
Wed Sep 20 09:04:47 2017, 10.112.7.47, check traffic
Wed Sep 20 09:05:01 2017, 10.112.7.47, good bye
Wed Sep 20 09:08:42 2017, 10.112.7.47, check weather
Wed Sep 20 09:08:53 2017, 10.112.7.47, check history
Wed Sep 20 09:12:19 2017, 10.112.7.47, set an alarm for five am
Wed Sep 20 09:12:31 2017, 10.112.7.47, check n't
Wed Sep 20 09:13:00 2017, 10.112.7.47, check history
Wed Sep 20 09:13:14 2017, 10.112.7.47, good bye

Wed Sep 20 09:14:19 2017, 10.112.7.47, ten
Wed Sep 20 09:14:29 2017, 10.112.7.47, million
Wed Sep 20 09:14:39 2017, 10.112.7.47, eight set one
Wed Sep 20 09:14:55 2017, 10.112.7.47, play ten
Wed Sep 20 09:15:00 2017, 10.112.7.47, good bye
Wed Sep 20 14:08:34 2017, 10.112.7.47, is none
Wed Sep 20 14:08:52 2017, 10.112.7.47, check weather
Wed Sep 20 14:09:09 2017, 10.112.7.47, nine
Wed Sep 20 14:09:16 2017, 10.112.7.47, good bye
Wed Sep 20 15:24:29 2017, 10.112.7.47, thousand weather
Wed Sep 20 15:24:49 2017, 10.112.7.47, am events
Wed Sep 20 15:24:59 2017, 10.112.7.47, for check traffic
Wed Sep 20 15:25:05 2017, 10.112.7.47, one is good bye
Wed Sep 20 15:25:45 2017, 10.112.7.47, check history
Wed Sep 20 15:25:55 2017, 10.112.7.47, thousand bye good bye one timer
Wed Sep 20 15:25:57 2017, 10.112.7.47, good bye eleven is
Wed Sep 20 16:16:52 2017, 10.112.7.47, eight not good bye
Wed Sep 20 16:17:09 2017, 10.112.7.47, no
Wed Sep 20 16:17:30 2017, 10.112.7.47, hey eight good none lights good bye send no hey baka on lights am
Wed Sep 20 16:22:34 2017, 10.112.7.47, check weather
Wed Sep 20 16:22:47 2017, 10.112.7.47, check traffic
Wed Sep 20 16:23:03 2017, 10.112.7.47, years play check events
Wed Sep 20 16:23:10 2017, 10.112.7.47, check is connected good bye
Wed Sep 20 16:38:23 2017, 10.112.7.47, one
Wed Sep 20 16:38:30 2017, 10.112.7.47, events
Wed Sep 20 16:38:41 2017, 10.112.7.47, set an alarm where five minutes
Wed Sep 20 16:38:47 2017, 10.112.7.47, good bye
Wed Sep 20 16:40:32 2017, 10.112.7.47, no
Wed Sep 20 16:40:38 2017, 10.112.7.47, set an alarm weeks is eighty not an alarm good bye
Wed Sep 20 16:41:03 2017, 10.112.7.47, good days good bye turn on lights eight who is timer is
Wed Sep 20 16:43:54 2017, 10.112.7.47, check traffic
Wed Sep 20 16:43:57 2017, 10.112.7.47, two good bye
Wed Sep 20 16:44:10 2017, 10.112.7.47, check send check
Wed Sep 20 16:44:33 2017, 10.112.7.47, check history
Wed Sep 20 16:44:37 2017, 10.112.7.47, good bye
Wed Sep 20 19:54:59 2017, 10.112.7.47, good bye
Wed Sep 20 19:56:45 2017, 10.112.7.47, one is hundred who is user on lights years minutes eight bye
Wed Sep 20 19:56:50 2017, 10.112.7.47, set an good bye
Thu Sep 21 13:09:17 2017, 127.0.0.1, one eighty
Thu Sep 21 13:09:25 2017, 127.0.0.1, set an alarm bye minutes
Thu Sep 21 13:09:32 2017, 127.0.0.1, check weather
Thu Sep 21 13:09:44 2017, 127.0.0.1, check traffic
Thu Sep 21 13:09:51 2017, 127.0.0.1, send events
Thu Sep 21 13:10:06 2017, 127.0.0.1, send email
Thu Sep 21 13:10:11 2017, 127.0.0.1, good bye
Thu Sep 21 13:10:32 2017, 127.0.0.1, check history hey who
Thu Sep 21 13:11:13 2017, 127.0.0.1, thousand weather
Thu Sep 21 13:11:29 2017, 127.0.0.1, is traffic traffic
Thu Sep 21 13:11:41 2017, 127.0.0.1, none
Thu Sep 21 13:11:52 2017, 127.0.0.1, set an alarm where nine minutes
Thu Sep 21 13:12:01 2017, 127.0.0.1, thousand three music
Thu Sep 21 13:12:08 2017, 127.0.0.1, play music off who
Thu Sep 21 13:12:18 2017, 127.0.0.1, good bye
Thu Sep 21 13:13:36 2017, 127.0.0.1, check history
Thu Sep 21 13:14:52 2017, 127.0.0.1, check history
Thu Sep 21 13:15:01 2017, 127.0.0.1, good bye
Thu Sep 21 13:16:25 2017, 127.0.0.1, eleven
Thu Sep 21 13:16:58 2017, 127.0.0.1, eight hours for
Thu Sep 21 13:17:04 2017, 127.0.0.1, good bye for
Thu Sep 21 16:04:01 2017, 10.112.7.47, set timer alarm nine eighty
Thu Sep 21 16:05:27 2017, 10.112.7.47, hey hey baka
Thu Sep 21 16:05:35 2017, 10.112.7.47, set timer fourteen n't
Thu Sep 21 16:06:15 2017, 10.112.7.47, good bye
Fri Sep 22 03:30:36 2017, 127.0.0.1, check history
